. Sequence file : [run1snps.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	154   	-137727.29393	Yes        	4        	0.617    	0.000    	 0.18388   0.32544   0.32226   0.16842	-1.28639   0.26059   0.91690   0.10890  
      	     	          	           	          	           	             	                                      	 0.14724  -0.79687   0.17594   0.47369  
      	     	          	           	          	           	             	                                      	 0.52318   0.17768  -0.86234   0.16148  
      	     	          	           	          	           	             	                                      	 0.11890   0.91533   0.30900  -1.34323  

  #2	154   	-140879.91873	Yes        	4        	0.581    	0.000    	 0.17978   0.32774   0.32403   0.16845	-1.28030   0.24022   0.93757   0.10250  
      	     	          	           	          	           	             	                                      	 0.13177  -0.79742   0.19002   0.47563  
      	     	          	           	          	           	             	                                      	 0.52020   0.19219  -0.87184   0.15945  
      	     	          	           	          	           	             	                                      	 0.10940   0.92540   0.30673  -1.34153  

  #3	154   	-141038.37428	Yes        	4        	0.593    	0.000    	 0.17726   0.31967   0.32824   0.17483	-1.35382   0.27485   0.99646   0.08251  
      	     	          	           	          	           	             	                                      	 0.15241  -0.81950   0.17622   0.49087  
      	     	          	           	          	           	             	                                      	 0.53813   0.17162  -0.85223   0.14248  
      	     	          	           	          	           	             	                                      	 0.08366   0.89756   0.26751  -1.24873  

  #4	154   	-138527.51373	Yes        	4        	0.596    	0.000    	 0.17862   0.32705   0.32089   0.17344	-1.37634   0.25019   1.02070   0.10545  
      	     	          	           	          	           	             	                                      	 0.13665  -0.77429   0.17933   0.45831  
      	     	          	           	          	           	             	                                      	 0.56817   0.18277  -0.89309   0.14215  
      	     	          	           	          	           	             	                                      	 0.10860   0.86422   0.26300  -1.23583  

  #5	154   	-138542.45530	Yes        	4        	0.610    	0.000    	 0.17473   0.32640   0.32842   0.17045	-1.30973   0.24284   0.96393   0.10296  
      	     	          	           	          	           	             	                                      	 0.13000  -0.79354   0.19274   0.47080  
      	     	          	           	          	           	             	                                      	 0.51284   0.19155  -0.87056   0.16616  
      	     	          	           	          	           	             	                                      	 0.10554   0.90154   0.32016  -1.32725  

  #6	154   	-142304.10708	Yes        	4        	0.605    	0.000    	 0.17994   0.32618   0.32279   0.17109	-1.37075   0.27174   1.00653   0.09248  
      	     	          	           	          	           	             	                                      	 0.14990  -0.76388   0.21241   0.40156  
      	     	          	           	          	           	             	                                      	 0.56109   0.21465  -0.94018   0.16444  
      	     	          	           	          	           	             	                                      	 0.09727   0.76559   0.31025  -1.17311  

  #7	154   	-136486.88661	Yes        	4        	0.625    	0.000    	 0.18121   0.32968   0.32472   0.16440	-1.28278   0.26039   0.93404   0.08835  
      	     	          	           	          	           	             	                                      	 0.14312  -0.80271   0.18404   0.47555  
      	     	          	           	          	           	             	                                      	 0.52124   0.18685  -0.86236   0.15428  
      	     	          	           	          	           	             	                                      	 0.09738   0.95368   0.30474  -1.35580  

  #8	154   	-137744.88087	Yes        	4        	0.607    	0.000    	 0.17630   0.32493   0.32820   0.17058	-1.28088   0.25845   0.94799   0.07445  
      	     	          	           	          	           	             	                                      	 0.14023  -0.83112   0.20809   0.48280  
      	     	          	           	          	           	             	                                      	 0.50923   0.20602  -0.86666   0.15141  
      	     	          	           	          	           	             	                                      	 0.07694   0.91967   0.29133  -1.28794  

  #9	154   	-136784.26497	Yes        	4        	0.649    	0.000    	 0.17597   0.32395   0.32845   0.17164	-1.39624   0.31706   0.96147   0.11772  
      	     	          	           	          	           	             	                                      	 0.17222  -0.79480   0.17085   0.45173  
      	     	          	           	          	           	             	                                      	 0.51511   0.16850  -0.84384   0.16023  
      	     	          	           	          	           	             	                                      	 0.12069   0.85259   0.30662  -1.27989  

  #10	154   	-142294.53308	Yes        	4        	0.603    	0.000    	 0.17899   0.31930   0.32903   0.17268	-1.38663   0.25248   1.00340   0.13076  
      	     	          	           	          	           	             	                                      	 0.14153  -0.78836   0.18919   0.45763  
      	     	          	           	          	           	             	                                      	 0.54584   0.18359  -0.86704   0.13760  
      	     	          	           	          	           	             	                                      	 0.13554   0.84620   0.26219  -1.24393  

  #11	154   	-136609.81876	Yes        	4        	0.616    	0.000    	 0.17655   0.33477   0.31930   0.16937	-1.44001   0.25931   1.08723   0.09347  
      	     	          	           	          	           	             	                                      	 0.13676  -0.71632   0.18266   0.39690  
      	     	          	           	          	           	             	                                      	 0.60117   0.19151  -0.95472   0.16204  
      	     	          	           	          	           	             	                                      	 0.09743   0.78447   0.30548  -1.18739  

  #12	154   	-141548.70382	Yes        	4        	0.563    	0.000    	 0.17589   0.32168   0.32821   0.17422	-1.36657   0.27877   1.02464   0.06316  
      	     	          	           	          	           	             	                                      	 0.15243  -0.79782   0.22518   0.42021  
      	     	          	           	          	           	             	                                      	 0.54912   0.22070  -0.92832   0.15851  
      	     	          	           	          	           	             	                                      	 0.06376   0.77589   0.29860  -1.13825  

  #13	154   	-138365.78401	Yes        	4        	0.595    	0.000    	 0.18296   0.33066   0.31782   0.16856	-1.32407   0.25483   0.98538   0.08387  
      	     	          	           	          	           	             	                                      	 0.14100  -0.77749   0.16772   0.46877  
      	     	          	           	          	           	             	                                      	 0.56728   0.17450  -0.89053   0.14876  
      	     	          	           	          	           	             	                                      	 0.09104   0.91961   0.28049  -1.29113  

  #14	154   	-138762.62637	Yes        	4        	0.593    	0.000    	 0.17758   0.32429   0.32639   0.17174	-1.33048   0.23837   0.98633   0.10578  
      	     	          	           	          	           	             	                                      	 0.13053  -0.77183   0.20328   0.43802  
      	     	          	           	          	           	             	                                      	 0.53664   0.20198  -0.90948   0.17086  
      	     	          	           	          	           	             	                                      	 0.10937   0.82709   0.32471  -1.26117  

  #15	154   	-140033.00053	Yes        	4        	0.596    	0.000    	 0.18074   0.32910   0.32448   0.16568	-1.30205   0.24359   0.96606   0.09240  
      	     	          	           	          	           	             	                                      	 0.13378  -0.78634   0.18496   0.46760  
      	     	          	           	          	           	             	                                      	 0.53812   0.18759  -0.87951   0.15380  
      	     	          	           	          	           	             	                                      	 0.10080   0.92886   0.30121  -1.33088  

  #16	154   	-139770.77609	Yes        	4        	0.589    	0.000    	 0.17373   0.33291   0.32211   0.17125	-1.32985   0.29174   0.96443   0.07369  
      	     	          	           	          	           	             	                                      	 0.15224  -0.80176   0.17598   0.47353  
      	     	          	           	          	           	             	                                      	 0.52016   0.18188  -0.86576   0.16372  
      	     	          	           	          	           	             	                                      	 0.07476   0.92054   0.30795  -1.30324  

  #17	154   	-139624.91915	Yes        	4        	0.606    	0.000    	 0.17771   0.32631   0.32817   0.16781	-1.33925   0.30588   0.96472   0.06865  
      	     	          	           	          	           	             	                                      	 0.16659  -0.81537   0.20656   0.44222  
      	     	          	           	          	           	             	                                      	 0.52240   0.20539  -0.88106   0.15327  
      	     	          	           	          	           	             	                                      	 0.07270   0.85991   0.29975  -1.23235  

  #18	154   	-140773.47963	Yes        	4        	0.559    	0.000    	 0.18333   0.32509   0.32761   0.16397	-1.27747   0.27061   0.91987   0.08699  
      	     	          	           	          	           	             	                                      	 0.15260  -0.82449   0.19298   0.47890  
      	     	          	           	          	           	             	                                      	 0.51474   0.19149  -0.85087   0.14463  
      	     	          	           	          	           	             	                                      	 0.09726   0.94947   0.28897  -1.33571  

  #19	154   	-141581.15519	Yes        	4        	0.604    	0.000    	 0.17702   0.32530   0.32643   0.17125	-1.40326   0.27790   1.01913   0.10622  
      	     	          	           	          	           	             	                                      	 0.15122  -0.76606   0.22498   0.38986  
      	     	          	           	          	           	             	                                      	 0.55265   0.22419  -0.93491   0.15806  
      	     	          	           	          	           	             	                                      	 0.10980   0.74054   0.30129  -1.15162  

  #20	154   	-140694.48961	Yes        	4        	0.603    	0.000    	 0.18072   0.33151   0.31817   0.16960	-1.29204   0.29578   0.91856   0.07771  
      	     	          	           	          	           	             	                                      	 0.16124  -0.81175   0.20580   0.44470  
      	     	          	           	          	           	             	                                      	 0.52174   0.21443  -0.89601   0.15984  
      	     	          	           	          	           	             	                                      	 0.08280   0.86921   0.29985  -1.25186  

  #21	154   	-142858.15907	Yes        	4        	0.568    	0.000    	 0.17784   0.33038   0.31970   0.17208	-1.29912   0.25197   0.96579   0.08136  
      	     	          	           	          	           	             	                                      	 0.13563  -0.77744   0.21055   0.43125  
      	     	          	           	          	           	             	                                      	 0.53725   0.21759  -0.93288   0.17805  
      	     	          	           	          	           	             	                                      	 0.08409   0.82798   0.33079  -1.24286  

  #22	154   	-141587.74981	Yes        	4        	0.580    	0.000    	 0.18513   0.32156   0.32649   0.16682	-1.19799   0.27167   0.84169   0.08463  
      	     	          	           	          	           	             	                                      	 0.15640  -0.86425   0.19097   0.51687  
      	     	          	           	          	           	             	                                      	 0.47726   0.18809  -0.82033   0.15498  
      	     	          	           	          	           	             	                                      	 0.09392   0.99635   0.30333  -1.39359  

  #23	154   	-136734.82637	Yes        	4        	0.620    	0.000    	 0.18279   0.32729   0.31871   0.17121	-1.24902   0.25097   0.91515   0.08291  
      	     	          	           	          	           	             	                                      	 0.14016  -0.83649   0.17975   0.51657  
      	     	          	           	          	           	             	                                      	 0.52486   0.18459  -0.84686   0.13741  
      	     	          	           	          	           	             	                                      	 0.08852   0.98747   0.25579  -1.33178  

  #24	154   	-135939.96312	Yes        	4        	0.620    	0.000    	 0.18498   0.32652   0.31941   0.16910	-1.26699   0.28347   0.91474   0.06878  
      	     	          	           	          	           	             	                                      	 0.16059  -0.81740   0.19635   0.46046  
      	     	          	           	          	           	             	                                      	 0.52975   0.20072  -0.89068   0.16021  
      	     	          	           	          	           	             	                                      	 0.07524   0.88914   0.30262  -1.26701  

  #25	154   	-143441.66841	Yes        	4        	0.575    	0.000    	 0.18362   0.32783   0.31781   0.17074	-1.20132   0.23425   0.87599   0.09107  
      	     	          	           	          	           	             	                                      	 0.13121  -0.80987   0.19090   0.48776  
      	     	          	           	          	           	             	                                      	 0.50613   0.19692  -0.88216   0.17911  
      	     	          	           	          	           	             	                                      	 0.09795   0.93656   0.33339  -1.36790  

  #26	154   	-140372.65811	Yes        	4        	0.557    	0.000    	 0.18428   0.31915   0.32149   0.17508	-1.26324   0.23733   0.96365   0.06226  
      	     	          	           	          	           	             	                                      	 0.13703  -0.81145   0.21152   0.46290  
      	     	          	           	          	           	             	                                      	 0.55235   0.20998  -0.92399   0.16167  
      	     	          	           	          	           	             	                                      	 0.06553   0.84382   0.29687  -1.20621  

  #27	154   	-141479.19666	Yes        	4        	0.592    	0.000    	 0.17640   0.32644   0.32105   0.17611	-1.32551   0.31981   0.91843   0.08727  
      	     	          	           	          	           	             	                                      	 0.17282  -0.83361   0.19531   0.46548  
      	     	          	           	          	           	             	                                      	 0.50463   0.19858  -0.86043   0.15721  
      	     	          	           	          	           	             	                                      	 0.08741   0.86280   0.28660  -1.23681  

  #28	154   	-141076.22725	Yes        	4        	0.609    	0.000    	 0.17956   0.32644   0.32134   0.17266	-1.28646   0.27198   0.93585   0.07863  
      	     	          	           	          	           	             	                                      	 0.14960  -0.81050   0.20998   0.45092  
      	     	          	           	          	           	             	                                      	 0.52293   0.21332  -0.90200   0.16575  
      	     	          	           	          	           	             	                                      	 0.08177   0.85252   0.30847  -1.24276  

  #29	154   	-142469.20554	Yes        	4        	0.580    	0.000    	 0.18149   0.31959   0.32542   0.17350	-1.36338   0.27798   0.99301   0.09239  
      	     	          	           	          	           	             	                                      	 0.15786  -0.76133   0.20107   0.40241  
      	     	          	           	          	           	             	                                      	 0.55379   0.19747  -0.93471   0.18345  
      	     	          	           	          	           	             	                                      	 0.09664   0.74125   0.34409  -1.18199  

  #30	154   	-140659.81901	Yes        	4        	0.562    	0.000    	 0.18542   0.32010   0.32163   0.17285	-1.21946   0.20640   0.93350   0.07955  
      	     	          	           	          	           	             	                                      	 0.11956  -0.82192   0.18986   0.51250  
      	     	          	           	          	           	             	                                      	 0.53817   0.18895  -0.87966   0.15254  
      	     	          	           	          	           	             	                                      	 0.08534   0.94910   0.28384  -1.31828  

  #31	154   	-138614.08463	Yes        	4        	0.602    	0.000    	 0.18114   0.33171   0.31872   0.16844	-1.29570   0.23940   0.99824   0.05806  
      	     	          	           	          	           	             	                                      	 0.13073  -0.78022   0.19098   0.45851  
      	     	          	           	          	           	             	                                      	 0.56732   0.19876  -0.92253   0.15645  
      	     	          	           	          	           	             	                                      	 0.06244   0.90294   0.29603  -1.26141  

  #32	154   	-140938.95322	Yes        	4        	0.594    	0.000    	 0.17223   0.32871   0.32944   0.16961	-1.25317   0.27451   0.89154   0.08712  
      	     	          	           	          	           	             	                                      	 0.14383  -0.84932   0.20361   0.50188  
      	     	          	           	          	           	             	                                      	 0.46610   0.20316  -0.82789   0.15864  
