Sample	posterior	ESS(posterior)	likelihood	prior	
0	-110304.80621203869	N	-110560.31457580635	255.5083637676518	
1000	-110301.43019610198	2.0	-110556.9831908265	255.5529947245222	
2000	-110314.57441960023	3.0	-110567.38631124707	252.81189164683457	
3000	-110310.75113701526	4.0	-110563.7339732039	252.9828361886336	
4000	-110312.32124783847	5.0	-110566.66733706753	254.3460892290609	
5000	-110318.5610158203	5.2	-110570.36521949101	251.80420367069758	
6000	-110309.03695673586	7.0	-110567.03036412879	257.99340739293916	
7000	-110313.85711735256	6.5	-110569.46866110104	255.6115437484886	
8000	-110307.73957441951	7.3	-110562.80688762655	255.06731320704228	
9000	-110315.0650016538	9.0	-110570.40352129305	255.33851963925116	
10000	-110327.50754104235	10.0	-110578.4449659908	250.93742494844724	
11000	-110334.43150579465	6.5	-110588.0792148372	253.64770904254448	
12000	-110333.80360410255	4.6	-110587.02517442059	253.22157031803573	
13000	-110327.32771211682	4.1	-110580.58643106255	253.25871894572208	
14000	-110329.85337953296	3.9	-110579.4356243238	249.58224479084697	
15000	-110321.23042148327	3.9	-110572.96382123041	251.73339974714168	
16000	-110308.98571777642	5.1	-110563.00163586528	254.01591808885655	
17000	-110305.74188653995	5.6	-110562.22743453161	256.4855479916583	
18000	-110319.19491499955	6.0	-110573.68067962777	254.4857646282179	
19000	-110303.57295699773	5.9	-110556.98073128736	253.4077742896296	
20000	-110292.52543965583	6.0	-110547.72069589107	255.19525623523725	
21000	-110288.11059787657	5.4	-110541.68492081724	253.57432294067016	
22000	-110275.60457658056	5.3	-110530.91799975879	255.3134231782301	
23000	-110270.99099684627	4.7	-110522.73205213017	251.74105528389325	
24000	-110265.90194770451	4.3	-110520.74200943008	254.84006172557082	
25000	-110268.7775247255	3.8	-110523.28686992946	254.50934520396515	
26000	-110267.25368525984	3.4	-110521.43741734032	254.18373208048354	
27000	-110269.25941155879	3.2	-110523.45174161159	254.1923300528008	
28000	-110280.67522286152	3.1	-110534.3202059278	253.64498306627553	
