. Sequence file : [run5.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	76   	-31949.81488	Yes        	4        	0.570    	0.000    	 0.18824   0.33022   0.29991   0.18163	-1.22979   0.26223   0.87517   0.09240  
      	     	          	           	          	           	             	                                      	 0.14948  -0.80399   0.14179   0.51271  
      	     	          	           	          	           	             	                                      	 0.54932   0.15612  -0.88007   0.17463  
      	     	          	           	          	           	             	                                      	 0.09576   0.93214   0.28834  -1.31624  

  #2	76   	-31569.64333	Yes        	4        	0.570    	0.000    	 0.20658   0.30686   0.29907   0.18748	-1.12949   0.21645   0.84246   0.07058  
      	     	          	           	          	           	             	                                      	 0.14571  -0.83684   0.16639   0.52473  
      	     	          	           	          	           	             	                                      	 0.58191   0.17072  -0.93517   0.18253  
      	     	          	           	          	           	             	                                      	 0.07777   0.85886   0.29117  -1.22780  

  #3	76   	-31618.03729	Yes        	4        	0.570    	0.000    	 0.18359   0.32740   0.31309   0.17592	-1.18590   0.29503   0.83633   0.05455  
      	     	          	           	          	           	             	                                      	 0.16543  -0.86281   0.17780   0.51959  
      	     	          	           	          	           	             	                                      	 0.49039   0.18592  -0.84866   0.17234  
      	     	          	           	          	           	             	                                      	 0.05693   0.96701   0.30672  -1.33066  

  #4	76   	-32198.52334	Yes        	4        	0.570    	0.000    	 0.18492   0.31921   0.30629   0.18959	-1.29361   0.27408   0.98179   0.03775  
      	     	          	           	          	           	             	                                      	 0.15877  -0.77912   0.17265   0.44770  
      	     	          	           	          	           	             	                                      	 0.59273   0.17993  -0.97760   0.20494  
      	     	          	           	          	           	             	                                      	 0.03682   0.75378   0.33109  -1.12170  

  #5	76   	-32613.58241	Yes        	4        	0.570    	0.000    	 0.19084   0.31403   0.30222   0.19291	-1.23163   0.27360   0.89276   0.06528  
      	     	          	           	          	           	             	                                      	 0.16627  -0.84886   0.17210   0.51049  
      	     	          	           	          	           	             	                                      	 0.56376   0.17882  -0.91001   0.16743  
      	     	          	           	          	           	             	                                      	 0.06458   0.83098   0.26230  -1.15786  

  #6	76   	-31827.67991	Yes        	4        	0.570    	0.000    	 0.18636   0.32246   0.30989   0.18129	-1.24614   0.24307   0.89420   0.10887  
      	     	          	           	          	           	             	                                      	 0.14048  -0.77971   0.14544   0.49380  
      	     	          	           	          	           	             	                                      	 0.53775   0.15134  -0.88800   0.19891  
      	     	          	           	          	           	             	                                      	 0.11192   0.87833   0.34001  -1.33025  

  #7	76   	-32390.56637	Yes        	4        	0.570    	0.000    	 0.17705   0.31361   0.32193   0.18741	-1.27708   0.30262   0.89920   0.07526  
      	     	          	           	          	           	             	                                      	 0.17085  -0.87402   0.17424   0.52894  
      	     	          	           	          	           	             	                                      	 0.49452   0.16973  -0.83004   0.16579  
      	     	          	           	          	           	             	                                      	 0.07110   0.88510   0.28479  -1.24099  

  #8	76   	-31256.98949	Yes        	4        	0.570    	0.000    	 0.17342   0.32248   0.32012   0.18397	-1.25092   0.24363   0.96450   0.04279  
      	     	          	           	          	           	             	                                      	 0.13101  -0.84171   0.16917   0.54152  
      	     	          	           	          	           	             	                                      	 0.52250   0.17041  -0.86121   0.16830  
      	     	          	           	          	           	             	                                      	 0.04034   0.94925   0.29286  -1.28245  

  #9	76   	-32229.16439	Yes        	4        	0.570    	0.000    	 0.18561   0.32620   0.30254   0.18565	-1.26717   0.19833   0.98817   0.08067  
